Title,Title_link,Details-sc-1vh1927-0,Details-sc-1vh1927-01
Denise's Card & Party Shop,https://www.bbb.org/us/sc/summerville/profile/gift-shop/denises-card-party-shop-0663-12002337,(843) 875-1266,"1625 N. Main Street, Summerville, SC 29483"
"Ording's Party Time, Inc.",https://www.bbb.org/us/oh/troy/profile/caterer/ordings-party-time-inc-0322-7004894,(937) 335-8368,"810 S Market St, Troy, OH 45373"
Parties To Go Inc,https://www.bbb.org/us/or/eugene/profile/rental-service-stores-yards/parties-to-go-inc-1296-22595808,(541) 485-5587,"2645 Suzanne Way, Eugene, OR 97408-7600"
Adagio Weddings By Joker Joker,https://www.bbb.org/us/ut/st-george/profile/party-supplies/joker-joker-lc-1166-22287290,(435) 628-0742,"511 E Saint George Blvd Ste D, St George, UT 84770-2977"
"Black Events and Advertising, Inc.",https://www.bbb.org/us/sd/sioux-falls/profile/marketing-programs/black-events-and-advertising-inc-0714-300032502,(605) 332-6000,"3313 S Western Ave, Sioux Falls, SD 57105-5334"
Always Remembered Flowers & Gifts,https://www.bbb.org/us/tx/jasper/profile/retail-florist/always-remembered-flowers-gifts-0845-90001824,(409) 384-7710,"648 S Wheeler St, Jasper, TX 75951-4542"
Lindsey Rentals and Sales,https://www.bbb.org/us/mo/columbia/profile/rental-service-stores-yards/lindsey-rentals-and-sales-0734-110226790,(573) 442-6197,"708 W Sexton Rd, Columbia, MO 65203-2404"
"Timeless Floral, Rentals and Decor",https://www.bbb.org/us/ne/albion/profile/retail-florist/timeless-floral-rentals-and-decor-0714-300101379,(402) 395-2430,"354 W Main St, Albion, NE 68620-1229"
All Seasons Floral and Gifts,https://www.bbb.org/us/ne/omaha/profile/retail-florist/all-seasons-floral-and-gifts-0714-137001549,(402) 991-9300,"16939 Wright Plz # 136, Omaha, NE 68130-2069"
Family Rentals & Guests Services,https://www.bbb.org/us/fl/delray-beach/profile/rental-service-stores-yards/family-rentals-guests-services-0633-90179478,(561) 279-9355,"2905 S Congress Ave STE G, Delray Beach, FL 33445-7337"
Tipton & Hurst,https://www.bbb.org/us/ar/little-rock/profile/retail-florist/tipton-hurst-0935-1739,(501) 666-3333,"1801 N Grant St, Little Rock, AR 72207-4408"
Tipton & Hurst,https://www.bbb.org/us/ar/little-rock/profile/retail-florist/tipton-hurst-0935-1739,(501) 666-3333,"PO Box 7329, Little Rock, AR 72217-7329"
"All Out Tent & Event Rental, LLC",https://www.bbb.org/us/ut/midvale/profile/party-supply-rentals/all-out-tent-event-rental-llc-1166-22319336,(801) 988-6288,"31 W 7065 S, Midvale, UT 84047-3765"
"All Out Tent & Event Rental, LLC",https://www.bbb.org/us/ut/midvale/profile/party-supply-rentals/all-out-tent-event-rental-llc-1166-22319336,(801) 988-6288,"31 W Glover Ln, Midvale, UT 84047-3765"
"All Out Tent & Event Rental, LLC",https://www.bbb.org/us/ut/midvale/profile/party-supply-rentals/all-out-tent-event-rental-llc-1166-22319336,(801) 988-6288,"PO Box 970, Riverton, UT 84065-0970"
Gibbs Rental & Sales Ltd,https://www.bbb.org/us/ia/council-bluffs/profile/party-supplies/gibbs-rental-sales-ltd-0714-104005244,(712) 323-4243,"904 N 16th St, Council Bluffs, IA 51501-0131"
Tops Tents & Rentals,https://www.bbb.org/us/ne/omaha/profile/tent-rentals/tops-tents-rentals-0714-300106422,(402) 734-8880,"4990 G St, Omaha, NE 68117-1417"
D & G Occasions,https://www.bbb.org/us/fl/orlando/profile/cake-decorating-supplies/d-g-occasions-0733-171856016,(407) 894-4458,"625 G Hrendon Ave, Orlando, FL 32803"
"Ray Event & Tent Rental, LLC",https://www.bbb.org/us/ks/wichita/profile/party-supply-rentals/ray-event-tent-rental-llc-0714-300095394,(316) 263-3931,"3000 E 31st St S, Wichita, KS 67216-2702"
Cornhusker Beverage & Bridal Shop,https://www.bbb.org/us/ne/omaha/profile/liquor-store/cornhusker-beverage-bridal-shop-0714-119000245,(402) 331-5404,"8510 K St, Omaha, NE 68127-1621"
Infinity Music Sound & Light,https://www.bbb.org/us/ok/tulsa/profile/djs/infinity-music-sound-light-1025-18342138,(918) 494-5800,"Tulsa, OK 74114"
Carolan Rental & Fun Company,https://www.bbb.org/us/sd/harrisburg/profile/bounce-house/carolan-rental-fun-company-0714-300055952,(605) 336-7368,"620 N. Cliff Ave, Harrisburg, SD 57032"
"P & J Florist, LLC",https://www.bbb.org/us/ri/east-providence/profile/retail-florist/p-j-florist-llc-0021-139838,(401) 432-7399,"340 Warren Avenue, East Providence, RI 02914-3841"
A-1 Rentals & Sales,https://www.bbb.org/us/tx/wichita-falls/profile/rental-service-stores-yards/a-1-rentals-sales-0875-76633,(940) 766-1793,"4314 Jacksboro Hwy, Wichita Falls, TX 76302-2720"
"Nellies Deli & Catering II, Inc.",https://www.bbb.org/us/fl/sarasota/profile/caterer/nellies-deli-catering-ii-inc-0653-90103466,(941) 924-2705,"15 S Beneva Rd, Sarasota, FL 34232-1452"
Arizona Domestic & Banquet Rentals & Sales Inc,https://www.bbb.org/us/az/phoenix/profile/rental-service-stores-yards/arizona-rentals-1126-15347,(602) 944-5561,"7104 N 7th St, Phoenix, AZ 85020-5304"
"La Crosse Tent & Awning, Inc.",https://www.bbb.org/us/wi/la-crosse/profile/awnings/la-crosse-tent-awning-inc-0694-1011387,(608) 781-1946,"2127 George St, La Crosse, WI 54603-2087"
AAA Rents & Event Services,https://www.bbb.org/us/ne/lincoln/profile/rental-service-stores-yards/aaa-rents-0714-101003119,(402) 467-4151,"5620 S 72nd St, Omaha, NE 68521-1425"
AAA Rents & Event Services,https://www.bbb.org/us/ne/lincoln/profile/rental-service-stores-yards/aaa-rents-0714-101003119,(402) 467-4151,"2700 N 27th St, Lincoln, NE 68521"
"Janousek Florist & Greenhouse, Inc.",https://www.bbb.org/us/ne/omaha/profile/retail-florist/janousek-florist-greenhouse-inc-0714-104006734,(402) 556-5652,"4901 Charles St, Omaha, NE 68132-1599"
"Janousek Florist & Greenhouse, Inc.",https://www.bbb.org/us/ne/omaha/profile/retail-florist/janousek-florist-greenhouse-inc-0714-104006734,(402) 556-5652,"2891 S 168th St, Omaha, NE 68130-2210"
"Great Lakes Rental & Equipment Service, LLC",https://www.bbb.org/us/oh/toledo/profile/tool-rental/great-lakes-rental-equipment-service-llc-0422-90088197,(419) 720-8922,"4329 W Alexis Rd, Toledo, OH 43623-1245"
"Great Lakes Rental & Equipment Service, LLC",https://www.bbb.org/us/oh/toledo/profile/tool-rental/great-lakes-rental-equipment-service-llc-0422-90088197,(419) 720-8922,"26860 Eckel Rd., Perrysburg, OH 43551"
"Great Lakes Rental & Equipment Service, LLC",https://www.bbb.org/us/oh/toledo/profile/tool-rental/great-lakes-rental-equipment-service-llc-0422-90088197,(419) 720-8922,"540 S. St. Clair, Toledo, OH 43604"
American Tool & Trailer Rental,https://www.bbb.org/us/ca/san-diego/profile/rental-service-stores-yards/carls-rentals-1126-1004217,(619) 291-2944,"2310 University Ave, San Diego, CA 92104"
American Tool & Trailer Rental,https://www.bbb.org/us/ca/san-diego/profile/rental-service-stores-yards/carls-rentals-1126-1004217,(619) 291-2944,"153 N Highway 101, Solana Beach, CA 92075-1128"
American Tool & Trailer Rental,https://www.bbb.org/us/ca/san-diego/profile/rental-service-stores-yards/carls-rentals-1126-1004217,(619) 291-2944,"3704 University Ave, San Diego, CA 92105"
American Tool & Trailer Rental,https://www.bbb.org/us/ca/san-diego/profile/rental-service-stores-yards/carls-rentals-1126-1004217,(619) 291-2944,"PO Box 2010, Alpine, CA 91903"
PartyonStillwater LLC,https://www.bbb.org/us/mn/stillwater/profile/party-planning/partyonstillwater-llc-0704-96362065,(651) 206-4882,"13992 55th St. N, Stillwater, MN 55082"
PartyonStillwater LLC,https://www.bbb.org/us/mn/stillwater/profile/party-planning/partyonstillwater-llc-0704-96362065,(651) 206-4882,"5637 Memorial Ave N, Stillwater, MN 55082-1092"
"Mariee Classique, LLC",https://www.bbb.org/us/ne/omaha/profile/wedding-supplies/mariee-classique-llc-0714-300108251,(316) 209-7105,"2240 N 128th Cir, Omaha, NE 68164-3420"
Table 4 Decor,https://www.bbb.org/us/sd/rapid-city/profile/wedding-supplies/table-4-decor-0714-113002226,(605) 341-6705,"3104 W Saint Louis St, Rapid City, SD 57702-2354"
"Ballou's Rent All, Inc.",https://www.bbb.org/us/ky/louisville/profile/party-supply-rentals/ballous-rent-all-inc-0402-773,(502) 895-5421,"3230 Frankfort Avenue, Louisville, KY 40206"
"Jake's on the Avenue Floral Design & Gifts, Inc.",https://www.bbb.org/us/la/denham-springs/profile/retail-florist/jakes-on-the-avenue-inc-0835-90011892,(225) 667-6670,"105 North Range Avenue Suite C, Denham Springs, LA 70726"
Marquee Event Rentals,https://www.bbb.org/us/il/markham/profile/party-supply-rentals/marquee-event-rentals-0654-87002265,(312) 666-2100,"3020 W 167th St, Markham, IL 60428-5618"
"White Table of Chattanooga, LLC",https://www.bbb.org/us/tn/chattanooga/profile/party-decoration-contractors/white-table-of-chattanooga-llc-0483-40014383,(423) 877-2700,"5959 Shallowford Rd STE 329, Chattanooga, TN 37421-2227"
Event Elements,https://www.bbb.org/us/ks/wichita/profile/party-supply-rentals/event-elements-0714-300079001,(316) 440-2829,"230 S Topeka St, Wichita, KS 67202-4308"
Grand Rental Station,https://www.bbb.org/us/ks/hays/profile/party-supply-rentals/grand-rental-station-0714-300079057,(785) 625-7391,"1505 Vine St, Hays, KS 67601-3429"
Sudbury True Value Rental,https://www.bbb.org/us/ma/sudbury/profile/rental-service-stores-yards/sudbury-true-value-rental-0021-40797,(978) 443-7368,"712 Boston Post Rd, Sudbury, MA 01776-3330"
Idida Celebrations,https://www.bbb.org/us/tx/irving/profile/banquet-facilities/idida-celebrations-0875-90573517,(972) 255-1414,"3418 W Rochelle Rd, Irving, TX 75062-6860"
United Rent-All,https://www.bbb.org/us/ne/omaha/profile/rental-service-stores-yards/united-rent-all-0714-106001388,(402) 556-1600,"4990 G St, Omaha, NE 68117-1417"
"Grants Pass Equipment Rental, Inc",https://www.bbb.org/us/or/grants-pass/profile/rental-service-stores-yards/grants-pass-equipment-rental-inc-1296-22013689,(541) 476-5219,"285 Rogue River Hwy, Grants Pass, OR 97527-5478"
Event Rental Pro,https://www.bbb.org/us/al/athens/profile/rental-service-stores-yards/event-rental-pro-0513-900086885,(256) 233-4686,"14200 Williams Rd, Athens, AL 35614"
"Southern Tier Rental Services, Inc.",https://www.bbb.org/us/ny/binghamton/profile/rental-service-stores-yards/southern-tier-rental-services-inc-0041-5000915,(607) 723-8317,"1029 Front St, Binghamton, NY 13905-1203"
Village Rental,https://www.bbb.org/us/oh/dayton/profile/party-supply-rentals/village-rental-0322-5134,(937) 885-4420,"9574 St Rt 48, Dayton, OH 45458"
"Ray Rents, Inc.",https://www.bbb.org/us/ga/columbus/profile/rental-service-stores-yards/ray-rents-inc-0743-105974,(706) 324-7368,"5310 Veterans Pkwy, Columbus, GA 31904-4424"
Chalet Premier,https://www.bbb.org/us/oh/north-lima/profile/retail-wine/chalet-premier-0432-20001691,(330) 549-5228,"10000 Market St, North Lima, OH 44452-9564"
Grand Rental Station,https://www.bbb.org/us/va/vinton/profile/rental-service-stores-yards/grand-rental-station-0613-729,(540) 343-1000,"1000 Vinyard Road, Vinton, VA 24179-3631"
"Highland Rent All, Inc.",https://www.bbb.org/us/nm/albuquerque/profile/rental-service-stores-yards/highland-rent-all-inc-0806-7048,(505) 349-4798,"8702 Menaul Blvd NE, Albuquerque, NM 87112-2226"
Celebrations,https://www.bbb.org/us/sc/west-columbia/profile/rental-service-stores-yards/celebrations-0663-25000737,(803) 939-2739,"830 Sunset Blvd, West Columbia, SC 29169-6858"
Sun Rentals,https://www.bbb.org/us/mi/grand-rapids/profile/rental-service-stores-yards/sun-rentals-0372-38130392,(616) 454-7982,"301 Fuller Ave NE, Grand Rapids, MI 49503-3630"
Taylor Rental Center,https://www.bbb.org/us/az/peoria/profile/rental-service-stores-yards/taylor-rental-center-1126-97014031,(623) 939-9745,"14131 N. Rio Vista Blvd. #13, Peoria, AZ 85381"
United Rental,https://www.bbb.org/us/ne/lincoln/profile/rental-service-stores-yards/united-rental-0714-221000562,(402) 423-2277,"4820 Rent-Worth Drive, Lincoln, NE 68516"
United Rental,https://www.bbb.org/us/ne/lincoln/profile/rental-service-stores-yards/united-rental-0714-221000562,(402) 423-2277,"710 N 48th St, Lincoln, NE 68504"
Mike's Westside Rental,https://www.bbb.org/us/tx/graham/profile/rental-service-stores-yards/mikes-westside-rental-0875-93583,(940) 549-5544,"2928 State Highway 16 S, Graham, TX 76450-5106"
"Miami Bartender Babe, LLC",https://www.bbb.org/us/fl/cutler-bay/profile/event-planner/miami-bartender-babe-llc-0633-90302655,(305) 613-5953,"10367 SW 207th Ln, Cutler Bay, FL 33189-3618"
OTTER Equipment Rentals,https://www.bbb.org/us/fl/davenport/profile/rental-service-stores-yards/otter-equipment-rentals-0733-90333577,(863) 271-8320,"316 Hidden Palms Dr, Davenport, FL 33897-8400"
OTTER Equipment Rentals,https://www.bbb.org/us/fl/davenport/profile/rental-service-stores-yards/otter-equipment-rentals-0733-90333577,(863) 271-8320,"8297 Championâ??s Gate Blvd Suite 461, Davenport, FL 33896"
Indestructo Rental Company Inc,https://www.bbb.org/us/il/des-plaines/profile/tent-rentals/indestructo-rental-company-inc-0654-88152502,(847) 375-8510,"1500 Birchwood Ave, Des Plaines, IL 60018-3002"
Burns Rent-Alls Inc.,https://www.bbb.org/us/in/mishawaka/profile/rental-service-stores-yards/burns-rent-alls-inc-0352-20125,(574) 259-2833,"332 West Mishawaka Ave., Mishawaka, IN 46545-6108"
Burns Rent-Alls Inc.,https://www.bbb.org/us/in/mishawaka/profile/rental-service-stores-yards/burns-rent-alls-inc-0352-20125,(574) 259-2833,"Warehouse - 1215 W. 8th Street, Mishawaka, IN 46544"
Burns Rent-Alls Inc.,https://www.bbb.org/us/in/mishawaka/profile/rental-service-stores-yards/burns-rent-alls-inc-0352-20125,(574) 259-2833,"2401 N Home St, Mishawaka, IN 46545-4425"
"White Bear Rental, Inc.",https://www.bbb.org/us/mn/white-bear-lake/profile/rental-service-stores-yards/white-bear-rental-inc-0704-96001168,(651) 426-4433,"3865 Highway 61 N, White Bear Lake, MN 55110-4698"
Best Rental Inc,https://www.bbb.org/us/co/fort-collins/profile/rental-service-stores-yards/best-rental-inc-0805-46001469,(970) 282-0700,"1540 Riverside Ave, Fort Collins, CO 80524-4326"
Best Rental Inc,https://www.bbb.org/us/co/fort-collins/profile/rental-service-stores-yards/best-rental-inc-0805-46001469,(970) 282-0700,"1550 Riverside Ave, Fort Collins, CO 80524"
Hang The Lights,https://www.bbb.org/us/az/scottsdale/profile/christmas-lights/hang-the-lights-1126-1000007477,(602) 390-9001,"Valleywide, Scottsdale, AZ 85260"
Honeyman Rent-All,https://www.bbb.org/us/ne/omaha/profile/rental-service-stores-yards/honeyman-rent-all-0714-120000031,(402) 333-2882,"11226 Wright Cir, Omaha, NE 68144-4737"
Honeyman Rent-All,https://www.bbb.org/us/ne/omaha/profile/rental-service-stores-yards/honeyman-rent-all-0714-120000031,(402) 331-6013,"4423 S 84th St, Omaha, NE 68127-1708"
Rental City,https://www.bbb.org/us/mi/saginaw/profile/contractors-equipment-rental/rental-city-0332-18001134,(989) 792-8701,"6470 State St, Saginaw, MI 48603-3475"
"All Occasion Creations, LLC",https://www.bbb.org/us/al/greenville/profile/florist/all-occasion-creations-llc-0463-90046413,(334) 382-7272,"810 N Conecuh St, Greenville, AL 36037-1647"
Mullins Equipment Rental,https://www.bbb.org/us/al/huntsville/profile/contractors-equipment/mullins-equipment-rental-0513-20001543,(256) 534-5701,"1021 Meridian St N, Huntsville, AL 35801-4635"
Bluewaters Equipment Rentals,https://www.bbb.org/us/tn/cookeville/profile/pressure-washing/bluewaters-equipment-rentals-0573-37057378,(931) 528-7559,"475 Foutch Dr, Cookeville, TN 38501-3496"
"Oriental Trading Co., Inc.",https://www.bbb.org/us/ne/omaha/profile/novelties/oriental-trading-co-inc-0714-104000648,(800) 228-0475,"4206 S 108th St, Omaha, NE 68137-1215"
"Oriental Trading Co., Inc.",https://www.bbb.org/us/ne/omaha/profile/novelties/oriental-trading-co-inc-0714-104000648,(800) 228-0475,"5455 S 90th St, Omaha, NE 68127-3501"
"Oriental Trading Co., Inc.",https://www.bbb.org/us/ne/omaha/profile/novelties/oriental-trading-co-inc-0714-104000648,(800) 228-0475,"11201 Giles Rd, La Vista, NE 68128-5707"
